level,side,region_name
1,0,Chapter 1: Forsaken City A-Side
2,0,Chapter 2: Old Site A-Side
3,0,Chapter 3: Celestial Resort A-Side
4,0,Chapter 4: Golden Ridge A-Side
5,0,Chapter 5: Mirror Temple A-Side
6,0,Chapter 6: Reflection A-Side
7,0,Chapter 7: The Summit A-Side
8,0,Epilogue
9,0,Chapter 8: Core A-Side
10,0,Chapter 9: Farewell A-Side
1,1,Chapter 1: Forsaken City B-Side
2,1,Chapter 2: Old Site B-Side
3,1,Chapter 3: Celestial Resort B-Side
4,1,Chapter 4: Golden Ridge B-Side
5,1,Chapter 5: Mirror Temple B-Side
6,1,Chapter 6: Reflection B-Side
7,1,Chapter 7: The Summit B-Side
9,1,Chapter 8: Core B-Side
1,2,Chapter 1: Forsaken City C-Side
2,2,Chapter 2: Old Site C-Side
3,2,Chapter 3: Celestial Resort C-Side
4,2,Chapter 4: Golden Ridge C-Side
5,2,Chapter 5: Mirror Temple C-Side
6,2,Chapter 6: Reflection C-Side
7,2,Chapter 7: The Summit C-Side
9,2,Chapter 8: Core C-Side
